candleInterval,tp1RR,z1min,z1max,tp1SizePercent,moveSlToBreakeven,totalTrades,winRate,profitFactor,maxDrawdown,expectancy,finalCapital,sharpeRatio,sortinoRatio
2,1.5,1.85,2.06,100,false,412,79.85,4.7387,3.94,0.7532,216623.80,0.8541,1.6781
4,2,1.95,2.1,100,false,461,75.49,4.6915,4.90,0.9049,619055.04,0.8313,1.8277
5,1.5,1.9,2.06,100,false,485,80.62,4.6708,2.97,0.7115,306083.84,0.8459,1.6160
1,2.5,1.9,2.1,100,false,236,69.07,4.5959,3.94,1.1123,132928.77,0.7860,1.9999
2,1.5,1.95,2.15,100,false,388,79.38,4.5522,2.97,0.7324,167146.82,0.8282,1.6129
5,3,1.95,2.06,100,false,462,67.53,4.5371,4.90,1.1484,1858163.74,0.7690,2.0155
3,3,1.95,2.06,100,false,445,67.42,4.5130,5.85,1.1447,1507870.38,0.7652,2.0053
2,2.5,1.95,2.1,100,false,388,69.85,4.4730,4.06,1.0473,550083.74,0.7772,1.9071
3,2,1.95,2.1,100,false,445,74.16,4.3731,4.90,0.8717,463021.81,0.7870,1.7147
4,1.5,1.95,2.15,100,false,461,78.31,4.2917,4.90,0.7140,260837.19,0.7900,1.5331
1,2.5,1.95,2.15,100,false,234,67.52,4.2796,3.94,1.0652,116530.93,0.7429,1.8690
5,2,1.95,2.1,100,false,462,73.59,4.2439,4.90,0.8566,500128.85,0.7689,1.6670
6,1.5,1.9,2.06,100,false,500,79.00,4.2425,2.97,0.6809,292043.66,0.7837,1.4859
2,2.5,1.9,2.06,100,false,397,68.01,4.1696,8.75,1.0140,528598.01,0.7330,1.7927
4,2,1.9,2.06,100,false,477,72.33,4.0418,4.90,0.8418,528587.92,0.7372,1.6002
1,2,1.9,2.15,100,false,236,70.34,4.0070,3.94,0.8919,79876.28,0.7254,1.6377
3,1.5,1.85,2.06,100,false,492,76.83,3.9866,4.75,0.6920,291325.95,0.7436,1.4376
6,3,1.95,2.06,100,false,479,64.51,3.9820,5.85,1.0583,1465537.86,0.6912,1.7765
6,2,1.95,2.1,100,false,479,72.23,3.9793,5.85,0.8272,501769.66,0.7285,1.5699
5,1.5,1.85,2.06,100,false,512,76.76,3.9668,3.55,0.6895,329937.67,0.7409,1.4303
2,3,1.95,2.1,100,false,388,62.37,3.8970,8.65,1.0901,638300.90,0.6705,1.7771
2,1.5,1.85,2.1,100,false,412,75.73,3.8678,5.65,0.6961,170984.79,0.7243,1.4129
2,2,1.95,2.15,100,false,388,70.10,3.7945,6.79,0.8355,245436.36,0.6963,1.5280
1,3,1.85,2.06,100,false,241,60.17,3.7917,6.79,1.1120,138755.79,0.6462,1.7619
4,1.5,1.9,2.1,100,false,477,76.10,3.7823,4.90,0.6649,231172.05,0.7114,1.3602
